City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
193,pekan,3.4836,103.3996,297.21,90,100,2.69,MY,1676241147
194,te anau,-45.4167,167.7167,293.24,56,34,0.56,NZ,1676241147
195,laguna,38.421,-121.4238,295.38,30,0,7.72,US,1676241147
196,mount gambier,-37.8333,140.7667,289.47,55,84,3.76,AU,1676241006
197,saint anthony,45.0205,-93.218,279.11,54,0,5.14,US,1676241148
198,tomatlan,19.9333,-105.25,303.88,30,4,5.26,MX,1676241148
199,komsomolskiy,40.4272,71.7189,272.12,57,98,2.09,UZ,1676241149
200,yellandu,17.6,80.3333,292.43,30,58,2.33,IN,1676241149
201,thompson,55.7435,-97.8558,264.24,79,75,5.66,CA,1676241030
202,ponta do sol,32.6667,-17.1,289.66,69,76,2.27,PT,1676241150
203,medvedevo,56.6339,47.804,265.19,97,100,2.05,RU,1676241150
204,pacifica,37.6138,-122.4869,293.23,66,20,7.2,US,1676241151
205,jamui,24.9167,86.2167,285.34,30,0,2.86,IN,1676241151
206,marsa matruh,31.3525,27.2453,286.26,54,40,4.63,EG,1676241152
207,havre-saint-pierre,50.2334,-63.5986,271.15,79,20,7.72,CA,1676241152
208,roald,62.5833,6.1333,282.66,87,75,9.77,NO,1676241152
209,rawah,34.4816,41.9093,280.26,50,0,3.47,IQ,1676241153
210,barrow,71.2906,-156.7887,245.16,76,0,5.66,US,1676241153
211,svetlogorsk,52.6333,29.7333,268.35,91,66,3.84,BY,1676241153
212,najran,17.4924,44.1277,290.51,51,0,2.51,SA,1676241046
213,chitungwiza,-18.0127,31.0756,290.11,84,100,0.5,ZW,1676240887
214,suyan,6.0603,125.3853,297.63,87,100,0.1,PH,1676241154
215,vilyuysk,63.7553,121.6247,227.37,100,60,0.95,RU,1676241154
216,broken hill,-31.95,141.4333,292.05,38,96,7.41,AU,1676241155
217,huitziltepec,17.8167,-99.4667,301.02,24,2,2.41,MX,1676240942
218,khandyga,62.6667,135.6,229.57,99,81,0.68,RU,1676241155
219,arlit,18.7369,7.3853,295.34,23,42,4.06,NE,1676241155
